English Word
Transcription
Русское название
anatomy	[ əˈnætəmi ]	анатомия
abdomen	[ ˈæbdəmən ]	живот
accouchement	[ əˈkuːʃmɒŋ ]	роды
ankle	[ ˈæŋkl̩ ]	голеностоп
anus	[ ˈeɪnəs ]	задний проход
appendix	[ əˈpendɪks ]	аппендикс
arm	[ ɑːm ]	рука
armpit	[ ˈɑːmpɪt ]	подмышка
artery	[ ˈɑːtəri ]	артерия
backbone	[ ˈbækbəʊn ]	позвоночник
bald head	[ bɔːld hed ]	лысина
beard	[ bɪəd ]	борода
biceps	[ ˈbaɪseps ]	бицепс
birth	[ bɜːθ ]	рождение
blood	[ blʌd ]	кровь
blood circulation	[ blʌd ˌsɜːkjʊˈleɪʃn̩ ]	кровообращение
blood group	[ blʌd ɡruːp ]	группа крови
blood vessel	[ blʌd ˈvesəl ]	кровеносный сосуд
body	[ ˈbɒdi ]	тело
bone	[ bəʊn ]	кость
bowels	[ ˈbaʊəlz ]	кишечник
brain	[ breɪn ]	мозг
breast	[ brest ]	грудь (женская)
breath	[ breθ ]	дыхание
bronchus	[ ˈbrɒŋkəs ]	бронх
build	[ bɪld ]	телосложение
bust	[ bʌst ]	бюст
buttocks	[ bʌtəks ]	ягодицы
calf	[ kɑːf ]	икра ноги
canine	[ ˈkeɪnaɪn ]	клык
capillary	[ kəˈpɪləri ]	капилляр
cerebrum	[ səˈriːbrəm ]	головной мозг
cheek	[ tʃiːk ]	щека
cheekbone	[ ˈtʃiːkbəʊn ]	скула
chest	[ ʧest ]	грудная клетка
chin	[ tʃɪn ]	подбородок
clavicle	[ ˈkl̩ævɪkl ]	ключица
corpse	[ kɔːps ]	труп
digestion	[ dɪˈdʒestʃən ]	пищеварение
dimple	[ ˈdɪmpl̩ ]	ямка на щеке
ear	[ ɪə ]	ухо
elbow	[ ˈelbəʊ ]	локоть
enamel	[ ɪˈnæml̩ ]	эмаль (зубная)
entrails	[ ˈentreɪlz ]	кишки
eyebrow	[ ˈaɪbraʊ ]	бровь
eyelash	[ ˈaɪlæʃ ]	ресница
eyelid	[ ˈaɪlɪd ]	веко
finger	[ ˈfɪŋɡə ]	палец на руке
fist	[ fɪst ]	кулак
flat-foot	[ ˈflætfʊt ]	плоскостопие
foot (feet)	[ fʊt fiːt ]	нога, ступня (ноги, ступни)
forearm	[ ˌfɔːˈrɑːm ]	предплечье
forefinger	[ ˈfɔːfɪŋɡə ]	указательный палец
forehead	[ ˈfɒrɪd ]	лоб
fourth finger	[ ˈfɔːθ ˈfɪŋɡə ]	безымянный палец
freckle	[ ˈfrekl̩ ]	веснушка
fringe	[ frɪndʒ ]	челка
gland	[ ɡlænd ]	лимфатический узел
groin	[ [ ɡrɔɪn ]	пах
gum	[ ɡʌm ]	десна
haemoglobin	[ ˌhiːməˈɡləʊbɪn ]	гемоглобин
haemorrhage	[ 'hemərɪʤ ]	кровотечение
hair	[ heə ]	волосы
hand	[ hænd ]	кисть
head	[ hed ]	голова
health	[ helθ ]	здоровье
heart	[ hɑːt ]	сердце
heel	[ hiːl ]	пятка
immunity	[ ɪˈmjuːnɪti ]	иммунитет
intestine	[ ɪnˈtestɪn ]	кишечник
jaw	[ dʒɔː ]	челюсть
kidney	[ ˈkɪdni ]	почка
knee	[ niː ]	колено
larynx	[ ˈlærɪŋks ]	гортань
