Русское название
Английское название
Транскрипция
алебарда	halberd	[ ˈhælbəd ]
анализировать	analyze	[ ˈænəlaɪz ]
арбалет	crossbow	[ ˈkrɒsbəʊ ]
археолог	archeologist, archaeologist	[ ˌɑːkiˈɒlədʒɪst ]
археология	archeology, archaeology	[ ˌɑːkiˈɒlədʒi ]
бронза	bronze	[ brɒnz ]
были смоделированы	were modeled	[ wə ˈmɑːdəld ]
век	century	[ ˈsentʃəri ]
гибель	death	[ deθ ]
глина	clay	[ kleɪ ]
гробница	tomb	[ tuːm ]
делать вывод	deduce	[ dɪˈdjuːs ]
до н. э.	B. C.	[ biː ] siː ]
долото	chisel	[ ˈtʃɪzəl ]
древний	ancient	[ ˈeɪnʃənt ]
жертвенник	credence	[ ˈkriːdns ]
захоронение	burial	[ ˈberɪəl ]
измерение	measurement	[ ˈmeʒəmənt ]
изображать	portray	[ pɔːˈtreɪ ]
исследование	exploration, research	[ ˌekspləˈreɪʃən ] [ rɪˈsɜːtʃ ]
надписи	inscriptions	[ ɪnˈskrɪpʃənz ]
историк	historian	[ hɪˈstɔːrɪən ]
исходный образец	initial sample	[ ɪˈnɪʃəl ˈsɑːmpəl ]
итог	result	[ rɪˈzʌlt ]
каверномер	caliper	[ ˈkælɪpə ]
кирка	pick	[ pɪk ]
ключ к разгадке	clue	[ kluː ]
колчан	quiver	[ ˈkwɪvə ]
копать	dig, excavate	[ dɪɡ ] [ ˈekskəveɪt ]
копье	lance	[ lɑːns ]
мавзолей	mausoleum	[ ˌmɔːsəˈliːəm ]
металл	metal	[ ˈmetəl ]
меч	sword	[ sɔːd ]
музей	museum	[ mjuːˈzɪəm ]
наконечник	arrowhead	[ ˈærəʊhed ]
насыпь	mound	[ maʊnd ]
небесное тело	celestial body	[ sɪˈlestɪəl ˈbɒdi ]
некрополь	necropolis	[ nɪˈkrɒpəlɪs ]
обнаруживать	discover	[ dɪˈskʌvə ]
оружейник	armorer	[ ˈɑːmərə ]
оружие	weapon	[ ˈwepən ]
открыть заново	rediscover	[ ˌriːdɪˈskʌvə ]
отмерять	mete out	[ miːt aʊt ]
поверхность	surface	[ ˈsɜːfɪs ]
предварительное открытие	preliminary finding	[ prɪˈlɪmɪnəri ˈfaɪndɪŋ ]
проект	project	[ 'prɒdʒekt ]
пункт наблюдения	vantage point	[ ˈvɑːntɪdʒ pɔɪnt ]
фигура размером с человека	life-size figure	[ ˈlaɪf saɪz ˈfɪɡə ]
реконструкция	reconstruction	[ ˌriːkənˈstrʌkʃən ]
ремесленник	artisan	[ ˌɑːtɪˈzæn ]
символизировать	represent	[ ˌriːprɪˈzent ]
создание	creation	[ kriːˈeɪʃən ]
сокровище	treasure	[ ˈtreʒə ]
сравнивать высоту	compare height	[ kəmˈpeə haɪt ]
статистический анализ	statistical analysis	[ stəˈtɪstɪkəl əˈnæləsɪs ]
статуя	statue	[ ˈstætʃuː ]
строить гипотезу	hypothesize	[ haɪˈpɑːθəˌsaɪz ]
терракота	terra-cotta	[ ˌterə ˈkɒtə ]
техника	technology	[ tekˈnɒlədʒi ]
технология изображения	imaging technology	[ ˈɪmɪdʒɪŋ tekˈnɒlədʒi ]
трёхмерный	three-dimensional	[ ˌθriː dɪˈmenʃnəl ]
триггер	trigger	[ ˈtrɪɡə ]
усовершенствованные методы	advanced methods	[ ədˈvɑːnst ˈmeθədz ]
участник	member	[ ˈmembə ]
фотографировать	photograph	[ ˈfəʊtəɡrɑːf ]
химический состав	chemical composition	[ ˈkemɪkəl ˌkɒmpəˈzɪʃən ]
цифровые технологии	digital technologies	[ ˈdɪdʒɪtəl tekˈnɒlədʒɪz ]
экспонат	exhibit	[ ɪɡˈzɪbɪt ]
яма	pit	[ pɪt ]
