Русское название
Английское название
Транскрипция
апсида	apse	[ æps ]
арочная колоннада	arched colonnade	[ ɑːtʃt ˌkɒləˈneɪd ]
архитектор эпохи Возрождения (Ренессанса)	Renaissance architect	[ rɪˈneɪsns ˈɑːkɪtekt ]
архитектура	architecture	[ ˈɑːkɪtektʃə ]
архитектурный патронаж	architectural patronage	[ ˌɑːkɪˈtektʃrəl ˈpætrənɪdʒ ]
ассиметричный план	asymmetric plan	[ ˌeɪsɪˈmetrɪk plæn ]
баптистерий	baptistry	[ baptistry ]
башенка	pinnacle	[ ˈpɪnəkəl ]
веранда	veranda	[ vəˈrændə ]
внешняя часть	exterior	[ ɪkˈstɪərɪə ]
возводить	to erect	[ tu ɪˈrekt ]
выставка	exposition, exhibition	[ ˌekspəˈzɪʃən ] [ ˌeksɪˈbɪʃən ]
гармония формы и цвета	harmony of form and color	[ ˈhɑːməni əv ˈfɔːm ənd ˈkʌlər ]
глина для кирпича	clay for brick	[ kleɪ fə brɪk ]
городские окрестности	urban surroundings	[ ˈɜːbən səˈraʊndɪŋz ]
городской центр	urban core	[ ˈɜːbən kɔː ]
гравюра на дереве/ксилография	woodcut	[ ˈwʊdkʌt ]
греческие храмы	Greek temples	[ ɡriːk ˈtempəlz ]
дизайнер	designer	[ dɪˈzaɪnə ]
древняя конструкция	ancient construction	[ ˈeɪnʃənt kənˈstrʌkʃən ]
живописная архитектура	picturesque architecture	[ ˌpɪktʃəˈresk ˈɑːkɪtektʃə ]
известь	lime	[ laɪm ]
интерьер помещений	interior spaces	[ ɪnˈtɪərɪə ˈspeɪsɪz ]
испанское барокко	Spanish Baroque	[ ˈspænɪʃ bəˈrɒk ]
композиционный	compositional	[ ˌkɑːmpəˈzɪʃənəl ]
красная черепичная крыша	red-tiled roof	[ ruːf ]
крупногабаритный средневековый дымоход	medieval oversized chimney	[ ˌmedɪˈiːvəl ˈəʊvəsaɪzd ˈtʃɪmni ]
кузница	forge	[ fɔːdʒ ]
купол	dome	[ dəʊm ]
ландшафтный архитектор	landscape architect	[ ˈlændskeɪp ˈɑːkɪtekt ]
модель в стиле неоренессанса	neo-Renaissance model	[ ˈmɒdəl ]
мрамор	marble	[ ˈmɑːbəl ]
натуралистический сад	naturalistic garden	[ ˌnætʃrəˈlɪstɪk ˈɡɑːdən ]
Неоготический стиль	Gothic Revival	[ ˈɡɒθɪk rɪˈvaɪvəl ]
Неогрек	Greek Revival	[ ɡriːk rɪˈvaɪvəl ]
неоклассический	neoclassical	[ ˌnioˈklæsɪkəl ]
неукрашенный	unornamented	[ ˌʌnˈɔːnəmentɪd ]
основной строительный материал	primary building material	[ ˈpraɪməri ˈbɪldɪŋ məˈtɪərɪəl ]
особенность	mannerism	[ ˈmænərɪzəm ]
особняк	mansion	[ ˈmænʃən ]
остроконечный	gabled	[ ˈɡeɪbəld ]
перепланировка	remodeling	[ rəˈmɑːdəlɪŋ ]
печь для обжигания кирпича	kiln for firing brick	[ kɪln fə ˈfaɪərɪŋ brɪk ]
пиано нобиле/главный этаж	piano nobile	[ pɪˈænəʊ ˈnɑːbəl ]
подмастерье	indentured servant	[ ɪnˈdentʃəd ˈsɜːvənt ]
подпорка	buttress	[ ˈbʌtrəs ]
портик/галерея	portico	[ ˈpɔːtɪkəʊ ]
постмодернизм	postmodernism	[ ˌpəʊstˈmɒdənɪzəm ]
прикреплять колышком	to peg	[ tə peɡ ]
прораб	superintendent	[ ˌsuːpərɪnˈtendənt ]
расширение	expansion	[ ɪkˈspænʃən ]
ризница	sacristy	[ ˈsækrɪsti ]
романская церковь	Romanesque church	[ ˌrəʊməˈnesk tʃɜːtʃ ]
с одним проходом между рядами (о церкви)	single-aisled	[ ˈsɪŋɡəl aɪld ]
самана	adobe	[ əˈdəʊbi ]
стиль поздней английской готики	Tudor Gothic style	[ ˈtuːdə ˈɡɒθɪk staɪl ]
стоечно-ригельная конструкция	post-and-beam construction	[ kənˈstrʌkʃən ]
столярная мастерская	carpentry shop	[ ˈkɑːpɪntri ʃɒp ]
стрельчатая арка	pointed arch	[ ˈpɔɪntɪd ɑːtʃ ]
тепидарий	tepidarium	[ ˌtɛpɪˈdɛːrɪəm ]
тротуар	sidewalk	[ ˈsaɪdwɔːk ]
украшение	embellishment	[ ɪmˈbelɪʃmənt ]
участки без отделки	undecorated stretches	[ ˈstretʃɪz ]
фасад	facade	[ fəˈsɑːd ]
флорентийский ренессанс	Florentine Renaissance	[ ˈflɔːənˌtin rɪˈneɪsns ]
фронтон	pediment	[ ˈpedɪmənt ]
эклектизм	eclecticism	[ ɪˈklektɪsɪzəm ]
эстетическая простота	aesthetic simplicity	[ iːsˈθetɪk sɪmˈplɪsɪti ]
