English Word
Transcription
Русское название
aeroplane, airplane,
plane, aircraft	[ ˈeərəpleɪn ] [ ˈeəpleɪn ]
[ pleɪn ] [ ˈeəkrɑːft ]	самолет
air sickness bag	[ eə ˈsɪknəs bæɡ ]	санитарный пакет, используемый при воздушной болезни
airport	[ ˈeəpɔːt ]	аэропорт
aisle	[ aɪl ]	проход
aisle seat (seat near the aisle)	[ aɪl siːt ] [ siːt nɪə ði aɪl ]	место у прохода
armrest	[ ˈɑːmrest ]	подлокотник
arrival and departure monitor	[ əˈraɪvl̩ ənd dɪˈpɑːtʃə ˈmɒnɪtə ]	монитор вылетов и прилетов
baggage carousel	[ ˈbæɡɪdʒ ˌkærəˈsel ]	багажный транспортер
baggage claim area	[ ˈbæɡɪdʒ kleɪm ˈeəriə ]	зонa получения багажа
baggage claim check	[ ˈbæɡɪdʒ kleɪm tʃek ]	багажный талон
boarding	[ ˈbɔːdɪŋ ]	посадка
boarding pass	[ ˈbɔːdɪŋ pɑːs ]	посадочный талон
cabin	[ ˈkæbɪn ]	салон самолета
call button	[ kɔːl ˈbʌtn̩ ]	кнопкa вызова
cargo door	[ ˈkɑːɡəʊ dɔː ]	грузовой люк
carry-on bag	[ ˈkæri ɒn bæɡ ]	ручная кладь
check-in counter (desk)	[ tʃek ɪn ˈkaʊntə ] [ desk ]	стойка регистрации
co-pilot	[ ˈkəʊˈpaɪlət ]	второй пилот
cockpit	[ ˈkɒkpɪt ]	кабина самолета
concession stand/snack bar	[ kənˈseʃn̩ stænd ] [ snæk bɑː ]	закусочная
control tower	[ kənˈtrəʊl ˈtaʊə ]	диспетчерская вышка
conveyor belt	[ kənˈveɪə belt ]	транспортер (конвейер) багажа
customs	[ ˈkʌstəmz ]	таможня
customs declaration form	[ ˈkʌstəmz ˌdekləˈreɪʃn̩ ˈfɔːm ]	таможенная декларация
customs officer	[ ˈkʌstəmz ˈɒfɪsə ]	служащий таможни
to declare	[ tə dɪˈkleə ]	указывать / предъявлять вещи, облагаемые пошлиной
delay	[ dɪˈleɪ ]	задержка
departure gate	[ dɪˈpɑːtʃə ɡeɪt ]	выход (на посадку в самолет)
departure lounge	[ dɪˈpɑːtʃə laʊndʒ ]	зал ожидания (перед выходом на посадку
departures board	[ dɪˈpɑːtʃəz bɔːd ]	табло
destination	[ ˌdestɪˈneɪʃn̩ ]	место назначения
duty-free shop	[ ˌdjuːtɪ ˈfriː ʃɒp ]	магазин беспошлинной торговли
emergency exit	[ ɪˈmɜːdʒənsi ˈeksɪt ]	аварийный выход
emergency instruction card	[ ɪˈmɜːdʒənsi ɪnˈstrʌkʃn̩ kɑːd ]	инструкция по поведению в чрезвычайных ситуациях
fasten seat belt sign	[ ˈfɑːsn̩ siːt belt saɪn ]	сигнал "пристегните ремни"
first-class section	[ fɜːst ˈklɑːs ˈsekʃn̩ ]	первый класс
flight	[ flaɪt ]	рейс / полет
flight attendant	[ flaɪt əˈtendənt ]	бортпроводник
flight engineer	[ flaɪt ˌendʒɪˈnɪə ]	бортинженер
fuselage	[ ˈfjuːzəlɑːʒ ]	фюзеляж
galley	[ ˈɡæli ]	камбуз
garment bag	[ ˈɡɑːmənt bæɡ ]	мешок для одежды
gate	[ ɡeɪt ]	вход / выход
gift shop	[ ɡɪft ʃɒp ]	сувенирный магазин
green / red channel	[ ɡriːn ] [ red ˈtʃænl̩ ]	зеленый / красный коридор
hand luggage / carry-on luggage	[ hænd lʌgɪʤ ] [ kæri ɒn ˈlʌɡɪdʒ ]	ручной багаж, ручная кладь
hijack	[ ˈhaɪdʒæk ]	угон самолета
immigration officer	[ ˌɪmɪˈɡreɪʃn̩ ˈɒfɪsə ]	cотрудник иммиграционной службы
information	[ ˌɪnfəˈmeɪʃn̩ ]	справочное бюро
instrument panel	[ ˈɪnstrʊmənt ˈpænl̩ ]	панель контрольно-измерительных приборов
landing	[ ˈlændɪŋ ]	посадка
landing gear	[ ˈlændɪŋ ɡɪə ]	шасси
lavatory	[ ˈlævətr̩i ]	туалет
life vest	[ laɪf vest ]	спасательный жилет
liquid	[ ˈlɪkwɪd ]	жидкость
luggage, baggage	[ ˈlʌɡɪdʒ ] [ ˈbæɡɪdʒ ]	багаж
luggage carrier	[ ˈlʌɡɪdʒ ˈkærɪə ]	тележка (для багажа)
luggage tags / labels	[ ˈlʌɡɪdʒ tæɡz ] [ ˈleɪbl̩z ]	бирки на багаже
luggage ticket	[ ˈlʌɡɪdʒ ˈtɪkɪt ]	багажная квитанция
metal detector	[ ˈmetl̩ dɪˈtektə ]	металлоискатель
middle seat	[ ˈmɪdl̩ siːt ]	среднее сидение
no smoking sign	[ nəʊ ˈsməʊkɪŋ saɪn ]	сигнал "не курить"
overhead compartment	[ ˌəʊvəˈhed kəmˈpɑːtmənt ]	багажная полка (сверху)
one way trip / ticket	[ wʌn ˈweɪ trɪp ] [ ˈtɪkɪt ]	поездка / билет в один конец
oxygen mask	[ ˈɒksɪdʒən mɑːsk ]	кислородная маска
passenger	[ ˈpæsɪndʒə ]	пассажир
passport	[ ˈpɑːspɔːt ]	паспорт
pilot / captain	[ ˈpaɪlət ] [ ˈkæptɪn ]	пилот
to reserve	[ tə rɪˈzɜːv ]	бронировать
round trip	[ ˈraʊnd trɪp ]	поездка туда и обратно
round trip ticket	[ ˈraʊnd trɪp ˈtɪkɪt ]	билет туда и обратно
runway	[ ˈrʌnweɪ ]	взлетно-посадочная полоса
schedule	[ ˈʃedjuːl ] [ ˈskeʤuːl ]	расписание
seat	[ siːt ]	место, сиденье, кресло
seat belt	[ siːt belt ]	ремень безопасности
seat pocket	[ siːt ˈpɒkɪt ]	карман кресла
security checkpoint	[ [ sɪˈkjʊərɪti ˈtʃekpɔɪnt ]	контрольно-пропускной пункт
security guard	[ sɪˈkjʊərɪti ɡɑːd ]	охранник
suitcase	[ ˈsuːtkeɪs ]	чемодан
tail	[ teɪl ]	хвост
terminal	[ ˈtɜːmɪnl̩ ]	терминал
ticket	[ ˈtɪkɪt ]	билет
ticket agent	[ ˈtɪkɪt ˈeɪdʒənt ]	кассир билетной кассы
ticket counter	[ ˈtɪkɪt ˈkaʊntə ]	касса
tray	[ treɪ ]	поднос
trolley	[ ˈtrɒli ]	тележка
visa	[ ˈviːzə ]	виза
waiting area	[ ˈweɪtɪŋ ˈeəriə ]	зонa ожидания
window seat	[ ˈwɪndəʊ siːt ]	место у окна
wing	[ wɪŋ ]	крыло
X-ray machine	[ ˈeks reɪ məˈʃiːn ]	рентгеновский аппарат для осмотра багажа
