English Word
Transcription
Русское название
arched	[ ɑːtʃt ]	дугой (брови)
attractive	[ əˈtræktɪv ]	привлекательный
bald	[ bɔːld ]	лысый
bald patch	[ bɔːld pætʃ ]	лысина
beard	[ bɪəd ]	борода
beautiful, lovely, pretty	[ ˈbjuːtəfl̩ ] [ ˈlʌvli ] [ ˈprɪti ]	красивый (о женщине или ребенке)
beauty	[ ˈbjuːti ]	красотка
big / great toe	[ bɪɡ ] [ ˈɡreɪt təʊ ]	большой палец (на ноге)
breast	[ brest ]	грудь
broad forehead	[ brɔːd ˈfɒrɪd ]	широкий лоб
brows	[ braʊz ]	брови
bushy	[ ˈbʊʃi ]	густые (о бровях)
chin	[ tʃɪn ]	подбородок
close-set eyes	[ ˈkləʊs set aɪz ]	близко посаженные глаза
common	[ ˈkɒmən ]	обычный
complexion	[ kəmˈplekʃn̩ ]	цвет лица
cropped head	[ krɒpt hed ]	стриженная голова
curly hair	[ ˈkɜːli heə ]	кудрявые волосы
deep-set eyes	[ diːp set aɪz ]	глубоко посаженные глаза
dimples	[ ˈdɪmpl̩z ]	ямочки (на щеках)
dull glance	[ dʌl ɡlɑːns ]	тусклый взгляд
ear	[ ɪə ]	ухо
elbow	[ ˈelbəʊ ]	локоть
face	[ feɪs ]	лицо
fair hair	[ feə heə ]	белокурые волосы
fat	[ fæt ]	толстый
figure	[ ˈfɪɡə ]	фигура
finger	[ ˈfɪŋɡə ]	палец (на руке)
first tooth	[ ˈfɜːst tuːθ ]	молочный зуб
flush	[ flʌʃ ]	румянец
foot	[ fʊt ]	ступня
fourth finger	[ ˈfɔːθ ˈfɪŋɡə ]	безымянный палец
fresh	[ freʃ ]	свежий
glassy eyes	[ ˈɡlɑːsi aɪz ]	тусклые глаза
good-looking, handsome	[ ɡʊd ˈlʊkɪŋ ] [ ˈhænsəm ]	красивый (о мужчине)
hair-cut	[ ˈheəkʌt ]	стрижка
height	[ haɪt ]	рост
hooked nose	[ hʊkt nəʊz ]	нос крючком
imposing appearance	[ ɪmˈpəʊzɪŋ əˈpɪərəns ]	внушительная внешность
index finger, forefinger	[ ˈɪndeks ˈfɪŋɡə ] [ ˈfɔːfɪŋɡə ]	указательный палец
intelligent expression	[ ɪnˈtelɪdʒənt ɪkˈspreʃn̩ ]	умный взгляд
knee	[ niː ]	колено
lashes	[ ˈlæʃɪz ]	ресницы
leg	[ leɡ ]	нога
little finger	[ ˈlɪtl̩ ˈfɪŋɡə ]	мизинец (на руке)
little toe	[ ˈlɪtl̩ təʊ ]	мизинец (на ноге)
lobe	[ ləʊb ]	мочка
locks, curls	[ lɒks ] [ kɜːlz ]	кудри
lower lip	[ ˈləʊə lɪp ]	нижняя губа
middle / second finger	[ ˈmɪdl̩ ] [ ˈsekənd ˈfɪŋɡə ]	средний палец
middle-sized	[ ˈmɪdlˈsaɪzd ]	средний
moustache	[ məˈstɑːʃ ]	усы
mouth	[ maʊθ ]	рот
nail	[ neɪl ]	ноготь
neck	[ nek ]	шея
oval	[ ˈəʊvl̩ ]	овальный
pale	[ peɪl ]	бледный
palm (of the hand)	[ pɑːm ] [ əv ðə hænd ]	ладонь
penciled	[ ˈpensəld ]	нарисованные
plain	[ pleɪn ]	простой
plump	[ plʌmp ]	пухлый
prominent ears	[ ˈprɒmɪnənt ɪəz ]	оттопыренные уши
ring finger	[ rɪŋ ˈfɪŋɡə ]	безымянный палец (на правой руке)
round	[ ˈraʊnd ]	круглый
shock of hair	[ ʃɒk əv heə ]	шапка волос
short	[ ʃɔːt ]	низкий
slim	[ slɪm ]	тонкий
snow-white teeth	[ ˈsnəʊ waɪt tiːθ ]	белоснежные зубы
sparse hair	[ spɑːs heə ]	жидкие волосы
splendid hair	[ ˈsplendɪd heə ]	пышные волосы
square	[ skweə ]	квадратный
stomach, belly	[ ˈstʌmək ] [ ˈbeli ]	живот
stooping	[ ˈstuːpɪŋ ]	согнутый
stout	[ staʊt ]	полный
straight	[ streɪt ]	прямой
tall	[ tɔːl ]	высокий
thin	[ θɪn ]	худой
thumb	[ θʌm ]	большой палец (на руке)
to arrange	[ tu əˈreɪndʒ ]	делать прическу
to dye hair	[ tə daɪ heə ]	красить волосы
to keep fit	[ tə kiːp fɪt ]	держать форму
to paint / rouge cheeks	[ tə peɪnt ] [ ruːʒ tʃiːks ]	красить щеки
to put on lipstick	[ tə ˈpʊt ɒn ˈlɪpstɪk ]	красить губы
to use / wear make-up	[ tə ˈjuːz ] [ weə ˈmeɪkʌp ]	краситься
toe	[ təʊ ]	палец (на ноге)
tongue	[ tʌŋ ]	язык
turned up	[ tɜːnd ʌp ]	вздернутый (нос)
ugly	[ ˈʌɡli ]	уродливый
unpleasant look in one’s eyes	[ ʌnˈpleznt lʊk ɪn wʌnz aɪz ]	тяжелый взгляд
unprepossessing appearance	[ ˌʌnpriːpəˈzesɪŋ əˈpɪərəns ]	непривлекательная внешность
upper lip	[ ˈʌpə lɪp ]	верхняя губа
waist	[ weɪst ]	талия
wavy hair	[ ˈweɪvi heə ]	волнистые волосы
weight	[ weɪt ]	вес
wrist	[ rɪst ]	запястье
