English term
Транскрипция
Русское название
absentee voter	[ ˌæbsənˈtiː ˈvəʊtə ]	избиратель, голосующий заочно
absentee voting	[ ˌæbsənˈtiː ˈvəʊtɪŋ ]	заочное голосование
absentee voting certificate	[ ˌæbsənˈtiː ˈvəʊtɪŋ səˈtɪfɪkeɪt ]	открепительное удостоверение для голосования
absolute majority	[ ˈæbsəluːt məˈdʒɒrɪti ]	абсолютное большинство
access to media	[ ˈækses tə ˈmiːdɪə ]	доступ к СМИ
accountability	[ əˌkaʊntəˈbɪləti ]	подотчетность
accreditation	[ əˌkredɪˈteɪʃən ]	аккредитация
accredited agent (of a candidate)	[ əˈkredɪtɪd ˈeɪdʒənt əv ə ˈkændɪdət ]	аккредитованное доверенное лицо (кандидата)
adjudication of grievances	[ əˌdʒuːdɪˈkeɪtʃən əv ˈɡriːvnsɪz ]	рассмотрение жалоб
administrative and territorial division of a subject of the Russian Federation	[ ədˈmɪnɪstrətɪv ənd ˌterɪˈtɔːrɪəl dɪˈvɪʒən əv ə sʌbˈdʒekt əv ðə ˈrʌʃən ˌfedəˈreɪʃən ]	административно-территориальное устройство субъекта Российской Федерации
administrative liability for infringing upon electoral rights of citizens and the right of citizens to participate in a referendum	[ ədˈmɪnɪstrətɪv ˌlaɪəˈbɪlɪti fər ɪnˈfrɪndʒɪŋ əˈpɒn ɪˈlektərəl raɪts əv ˈsɪtɪzənz ənd ðə raɪt əv ˈsɪtɪzənz tə pɑːˈtɪsɪpeɪt ɪn ə ˌrefəˈrendəm ]	административная ответственность за нарушение избирательных прав граждан и права граждан на участие в референдуме
advance polling day	[ ədˈvɑːns ˈpəʊlɪŋ deɪ ]	день досрочного голосования
agent of a candidate, electoral association, electoral bloc	[ ˈeɪdʒənt əv ə ˈkændɪdət ] ɪˈlektərəl əˌsəʊʃiˈeɪʃən ] ɪˈlektərəl blɒk ]	доверенное лицо кандидата, избирательного объединения, избирательного блока
All-Russia State Television and Radio Broadcasting Company	[ ɔːl ˈrʌʃə steɪt ˈtelɪˌvɪʒən ənd ˈreɪdɪəʊ ˈbrɔːdkɑːstɪŋ ˈkʌmpəni ]	Всероссийская государственная телевизионная и радиовещательная компания
alternative vote	[ ɔːlˈtɜːnətɪv vəʊt ]	альтернативный голос
anonymous adds, campaign materials	[ əˈnɒnɪməs ædz ] [ kæmˈpeɪn məˈtɪərɪəlz ]	реклама без указания информации о рекламодателе
application for a special ballot	[ ˌæplɪˈkeɪʃən fər ə ˈspeʃəl ˈbælət ]	заявка на получение специального избирательного бюллетеня
assistance to voters	[ əˈsɪstəns tə ˈvəʊtəz ]	помощь избирателям
attorney-general	[ əˌtɜ:ni ˈdʒenr̩əl ]	генеральный прокурор
australian ballot	[ ɒˈstreɪliən ˈbælət ]	австралийский избирательный бюллетень (бюллетень для закрытого голосования)
