РУССКОЕ НАЗВАНИЕ
ENGLISH
акация	acacia [ə'kei∫ə]
баобаб	baobab ['beiəubæb]
берёза	birch [bε:t∫]
бук	beech [bi:t∫]
вяз	elm [elm]
грецкий орех	walnut ['wo:lnΛt]
груша	pear tree [pεə tri:]
дуб	oak [əuk]
ель	spruce [spru:s], fir tree [fε: tri:]
ива	willow ['wiləu]
инжир = смоковница = фига	fig [fig]
каштан	chestnut ['t∫esnΛt]
кедр	cedar ['si:də]
кипарис	cypress ['saiprəs]
клён	maple ['meipl]
лавр	bay [bei]
липа	linden ['lindən], lime tree ['laim tri:]
лиственница	larch [la:t∫]
маслина = олива	olive ['oliv]
мирт	myrtle ['mε:tl]
можжевельник	juniper ['d3u:nipə]
ольха	alder ['o:ldə]
орешник	hazel ['heizəl]
осина	aspen ['æspən]
пальма	palm [pa:m]
пихта	fir [fε:], silver fir ['silvə fε:]
платан	plane [plein], sycamore ['sikəmo:]
рябина	mountain ash ['mauntin æ∫], rowan ['rəuən]
секвойя	sequoia [si'kwoiə]
сирень	lilac ['lailək]
слива	plum tree ['plΛm tri:]
сосна	pine [pain]
тис	yew tree ['ju: tri:]
тополь	poplar ['poplə]
эвкалипт	eucalyptus [ju:kə'liptəs]
яблоня	apple tree ['æpl tri:]
ясень	ash [æ∫]
