English Word
Transcription
Русское слово
adjacent	[ əˈdʒeɪsnt ]	примыкающий
adorn	[ əˈdɔːn ]	украшать
alcove	[ ˈælkəʊv ]	альков, ниша
appliance	[ əˈplaɪəns ]	приспособление, устройство, прибор
armchair	[ ˈɑːmtʃeə ]	кресло
apartment	[ əˈpɑːtmənt ]	квартира
balcony	[ ˈbælkəni ]	балкон
bathroom	[ ˈbɑːθruːm ]	ванная комната
basement	[ ˈbeɪsmənt ]	подвал, фундамент
be crammed up with furniture	[ bi kræmd ʌp wɪð ˈfɜːnɪtʃə ]	быть заставленным мебелью
be cramped for space	[ bi kræmpt fə speɪs ]	мало места
be short of light	[ bi ʃɔːt əv laɪt ]	мало света
bedroom	[ ˈbedruːm ]	спальня
bedside table	[ ˈbedsaɪd ˈteɪbl̩ ]	тумбочка
bedspread	[ ˈbedspred ]	покрывало
blind	[ blaɪnd ]	штора
block of flats	[ ˈblɒk əv flæts ]	многоквартирный дом
block out the light	[ ˈblɒk aʊt ðə laɪt ]	загораживать свет
bookcase	[ ˈbʊk keɪs ]	книжный шкаф
building	[ ˈbɪldɪŋ ]	здание
building society	[ ˈbɪldɪŋ səˈsaɪəti ]	строительное общество
bungalow	[ ˈbʌŋɡələʊ ]	бунгало
bunk bed	[ bʌŋk bed ]	двухъярусная кровать
camp bed	[ kæmp bed ]	раскладушка
carpet	[ ˈkɑːpɪt ]	ковёр
ceiling	[ ˈsiːlɪŋ ]	потолок
cellar	[ ˈselə ]	подвал, погреб
central heating	[ ˈsentrəl ˈhiːtɪŋ ]	центральное отопление
chair	[ tʃeə ]	стул
chandelier	[ ˌʃændəˈlɪə ]	люстра
chest of drawers	[ tʃest əv drɔːəz ]	комод
china	[ ˈtʃaɪnə ]	фарфор
closet	[ ˈklɒzɪt ]	стенной шкаф, чулан
coat rack	[ ˈkəʊt ræk ]	вешалка
coffee table	[ ˈkɒfi ˈteɪbl̩ ]	журнальный столик
convenience	[ kənˈviːnɪəns ]	удобство
cosy	[ ˈkəʊzi ]	уютный
cooker	[ ˈkʊkə ]	плита
cooker hood	[ ˈkʊkə hʊd ]	вытяжка
corridor	[ ˈkɒrɪdɔː ]	коридор
cottage	[ ˈkɒtɪdʒ ]	коттедж, домик
country-house	[ ˌkʌntriˈhaʊs ]	загородный дом
cover with dust sheets	[ ˈkʌvə wɪð dʌst ʃiːts ]	покрыть чехлами (о мебели)
cover	[ ˈkʌvə ]	покрывало
crammed up with things	[ kræmd ʌp wɪð ˈθɪŋz ]	забитый вещами
crockery	[ ˈkrɒkəri ]	фарфоровая и фаянсовая посуда
crystal	[ ˈkrɪstl̩ ]	хрусталь
cupboard	[ ˈkʌbəd ]	шкаф, сервант
curtain	[ ˈkɜːtn̩ ]	занавеска
curtain rail	[ ˈkɜːtn̩ reɪl ]	карниз
cushion	[ ˈkʊʃn̩ ]	диванная подушка
cutlery	[ ˈkʌtləri ]	ножевые изделия, металлические столовые приборы
decorate	[ ˈdekəreɪt ]	оформлять, украшать
detached house	[ dɪˈtætʃt ˈhaʊs ]	отдельный дом
dining room	[ ˈdaɪnɪŋ ruːm ]	столовая
dinner set	[ ˈdɪnə set ]	столовый сервиз
dish-drainer	[ dɪʃ ˈdreɪnə ]	сушилка для посуды
do the decorating	[ də ðə ˈdekəreɪtɪŋ ]	делать косметический ремонт
door-handle	[ ˈdɔːhændl̩ ]	дверная ручка
double bed	[ ˈdʌbl̩ bed ]	двуспальная кровать
drawing room	[ ˈdrɔːɪŋ ruːm ]	гостиная
dressing-table	[ ˈdresɪŋ teɪbl̩ ]	туалетный столик
drive in a nail	[ draɪv ɪn ə neɪl ]	забить гвоздь
dustbin	[ ˈdʌstbɪn ]	мусорное ведро
dwelling	[ ˈdwelɪŋ ]	жилище
entrance	[ ɪnˈtrɑːns ]	вход
fail to operate	[ feɪl tu ˈɒpəreɪt ]	сломаться
feel at home	[ fiːl ət həʊm ]	чувствовать себя как дома
fence	[ fens ]	забор
fitted carpet	[ ˈfɪtɪd ˈkɑːpɪt ]	палас, ковровое покрытие
fireplace	[ ˈfaɪəpleɪs ]	камин
flight of stairs	[ flaɪt əv steəz ]	лестничный пролёт
floor (parquet, polished)	[ flɔː ˈpɑːkeɪ ] ˈpɒlɪʃt ]	пол (паркетный, натёртый)
floor polisher	[ flɔː ˈpɒlɪʃə ]	полотёр
flowered	[ ˈflaʊəd ]	цветастый
fluorescent lamp	[ flʊəˈresnt læmp ]	лампа дневного света
flush-toilet	[ flʌʃ ˈtɔɪlɪt ]	унитаз
freezer	[ ˈfriːzə ]	морозильная камера
fridge	[ frɪdʒ ]	холодильник
front of the house	[ frʌnt əv ðə ˈhaʊs ]	фасад дома
focus of the room	[ ˈfəʊkəs əv ðə ruːm ]	центральное место в комнате
furnish	[ ˈfɜːnɪʃ ]	меблировать
furniture	[ ˈfɜːnɪtʃə ]	мебель
garage	[ ˈɡærɑːʒ ]	гараж
get rickety	[ ˈɡet ˈrɪkəti ]	расшататься (о мебели)
hall	[ hɔːl ]	прихожая
hangings	[ ˈhæŋɪŋz ]	портьеры
hedge	[ hedʒ ]	изгородь
home	[ həʊm ]	дом, домашний очаг
houseplant	[ ˈhaʊsplɑːnt ]	комнатное растение
housewarming party	[ ˈhaʊs ˈwɔːmɪŋ ˈpɑːti ]	новоселье
interior	[ ɪnˈtɪərɪə ]	интерьер
keyhole	[ ˈkiːhəʊl ]	замочная скважина
kitchen	[ ˈkɪtʃɪn ]	кухня
know where things go	[ nəʊ weə ˈθɪŋz ɡəʊ ]	знать, где что лежит
lamp	[ læmp ]	лампа
lavatory	[ ˈlævətr̩i ]	туалет
let a flat	[ let ə flæt ]	сдавать квартиру
lift	[ lɪft ]	лифт
lights fuse / go out	[ laɪts fjuːz / ɡəʊ aʊt ]	лампочки перегорают
linoleum	[ lɪˈnəʊlɪəm ]	линолеум
living room	[ ˈlɪvɪŋ ruːm ]	гостиная
look out onto ...	[ lʊk aʊt ˈɒntu ]	выходить на ... (об окнах)
lounge	[ laʊndʒ ]	гостиная
lustre	[ ˈlʌstə ]	люстра
mansion	[ ˈmænʃn̩ ]	особняк, большой дом
mat	[ mæt ]	коврик, циновка
mixer tap	[ ˈmɪksə tæp ]	смеситель, кран
modem accomodations	[ ˈməʊdem əˌkɒməˈdeɪʃn̩z ]	современные удобства
mortgage	[ ˈmɔːɡɪdʒ ]	ссуда, заём (при покупке дома), ипотека
move in/to	[ muːv ɪn tuː ]	въезжать, переезжать
move the furniture around	[ muːv ðə ˈfɜːnɪtʃər əˈraʊnd ]	передвигать мебель
neighbour	[ ˈneɪbə ]	сосед
nursery	[ ˈnɜːsəri ]	детская комната
one / two /...-room flat	[ wʌn / tuː / ruːm flæt ]	одно / двух /... комнатная квартира
one /two /...-storeyed house	[ wʌn / tuː / ˈstɔːrɪd ˈhaʊs ]	одно / двух /...этажный дом
oven	[ ˈʌvn̩ ]	духовка
owner	[ ˈəʊnə ]	владелец, собственник
palace	[ ˈpælɪs ]	дворец
papered	[ ˈpeɪpəd ]	оклеенный обоями
parquet	[ ˈpɑːkeɪ ]	паркет
patterned	[ ˈpætn̩d ]	с рисунком
pillow	[ ˈpɪləʊ ]	подушка
pillow-case	[ ˈpɪləʊkeɪs ]	наволочка
pipes get clogged	[ paɪps ˈɡet klɒɡd ]	трубы засоряются
plain	[ pleɪn ]	однотонный (о ткани)
portable	[ ˈpɔːtəbl̩ ]	переносной
put things right	[ ˈpʊt ˈθɪŋz raɪt ]	починить, исправить
quilt	[ kwɪlt ]	стёганое одеяло
radiator	[ ˈreɪdɪeɪtə ]	батарея центрального отопления
real estate agency	[ rɪəl ɪˈsteɪt ˈeɪdʒənsi ]	агентство недвижимости
refrigerator	[ rɪˈfrɪdʒəreɪtə ]	холодильник
refuse-chute	[ 'refjuːs ʃuːt ]	мусоропровод
renovate	[ ˈrenəveɪt ]	подновлять, ремонтировать, реконструировать
repair	[ rɪˈpeə ]	ремонт
room	[ ruːm ]	комната
rent a flat	[ rent ə flæt ]	снимать квартиру
rug	[ rʌɡ ]	пушистый коврик
running water	[ ˈrʌnɪŋ ˈwɔːtə ]	водопровод
self-contained flat	[ ˌself kənˈteɪnd flæt ]	отдельная квартира
semi-detached house	[ ˌsemɪdɪˈtætʃt ˈhaʊs ]	один из двух домов под общей крышей
share a room with smb.	[ ʃeər ə ruːm wɪð ]	проживать в одной комнате с кем-либо
sheet	[ ʃiːt ]	простыня
shift	[ ʃɪft ]	передвигать
show the dirt	[ ʃəʊ ðə dɜːt ]	пачкаться
single bed	[ ˈsɪŋɡl̩ bed ]	односпальная кровать
sink	[ sɪŋk ]	раковина (на кухне)
sky-scraper	[ ˈskaɪˌskreɪpə ]	небоскрёб
sofa	[ ˈsəʊfə ]	диван
sewing-machine	[ ˈsəʊɪŋ məʃiːn ]	швейная машина
space	[ speɪs ]	место, пространство
spacious	[ ˈspeɪʃəs ]	просторный
spyhole	[ ˈspaɪhəʊl ]	дверной глазок
stack chairs	[ stæk tʃeəz ]	составлять стулья
standard lamp	[ ˈstændəd læmp ]	торшер
statuette	[ ˌstætʃʊˈet ]	статуэтка
stereo system	[ ˈsterɪəʊ ˈsɪstəm ]	стереосистема
