to practice an art	заниматься искусством
abstract art	абстракционизм
classical art	классическое искусство
modern art	современное искусство
primitive art	примитивизм
graphic art	графическое искусство, графика
plastic arts	пластическое искусство
art school	художественное училище
Art Nouveau	франц. стиль модерн (художественный и архитектурный стиль конца XIX - начала XX вв.)
antique art	античное искусство
folk art	народное искусство
decorative art	декоративное искусство
applied art	прикладное искусство
art of building	зодчество
art castings	художественное литье
Graphic (black-and-white) art	искусство графики
art is long, life is short посл.	жизнь коротка, искусство вечно
Fine Arts	изобразительные искусства (музей изобразительных искусств имени С. Д. Эрьзи - the S. Erzya Museum of Fine Arts)
(the) Academy of Arts	Академия художеств
pictorial art	живопись
Stone Age art	искусство Каменного Века
Classical Greek	древнегреческий
Byzantine	византийский
Flemish	фламандский
Gothic	готический
the Renaissance period	эпоха Возрождения
the Baroque age	эпоха барокко
the Romantic era	эра Романтизма
the Neo-Classicists	неоклассицисты
the Itinerants	Передвижники
Impressionism	импрессионисты
The Symbolists	символисты
Expressionism	экспрессионизм
Cubism	кубизм
Pop art	поп-арт
acrylic painting	живопись акриловой краской
bark painting	живопись на коре
battle piece	батальная живопись
caricature	карикатура
ceremonial portrait	парадный портрет
collage	коллаж
drawing	рисунок
easel painting	станковая живопись
engraving	гравюра, эстамп
family group	семейный портрет
full-length portrait	портрет в полный рост
genre bas	«низкий жанр», бытовой жанр
genre painting	жанровая живопись
historical painting	историческая живопись
landscape	пейзаж
marine / seascape	морской пейзаж
miniature	миниатюра
mosaics	мозаика
mural	фреска, настенная живопись
oil painting	картина маслом
pastel picture	рисунок пастелью
self-portrait	автопортрет
sketch	набросок, этюд
still life	натюрморт
tapestry	гобелен
wall / mural painting	настенная живопись
water-colour	живопись акварелью
master	великий художник, мастер
old masters	cтарые мастера, особенно художники XVII-XVIII вв.; картины старых мастеров
moderns	cовременные художники
painter	живописец, художник
artist	художник (в широком смысле слова)
landscape painter	пейзажист
portrait painter (portraitist)	портретист
painter of sea-scapes	маринист
still life painter	художник, пишущий натюрморты
pastel(l)ist (pastel painter)	художник, рисующий пастелью
black-and-white artist (a painter in black-and-white)	график
colourist	художник-колорист
dauber	плохой художник
draughtsman (draftsman)	рисовальщик
art dealer	маршан; тот, кто продает и покупает картины; торговец произведениями искусства
colour-man	торговец красками
art-lover	любитель искусства
art-worker	художественный деятель
avant-garde	авангард
be in advance of one's time	опережать свое время
be taught painter	выучиться на художника
become famous overnight	стать известным за одну ночь
break with the tradition	порвать с традицией
canvas	картина, полотно
capture the sitter's vitality, transient expression	передать энергию модели, мимолетное выражение лица
conform to the taste of the period	соответствовать вкусу эпохи
depict a person, a scene of common life, the mood of...	изображать человека, бытовую сцену, настроение
develop one's own style of painting	выработать собственный стиль письма
die forgotten and penniless	умереть в бедности и безызвестности
do a painting	написать картину
expose the dark sides of life	изображать темную сторону жизни
fashionable artist	модный художник
mature artist	зрелый художник
nude model	обнаженная модель
paint from nature, memory	писать с натуры / по памяти
paint mythological, historical subjects	писать на мифологические, исторические сюжеты
painting	1) живопись, 2) картина
picture	1) картина, 2) фотография
portrait/landscape painter	портретист / пейзажист
portray people, emotions with moving sincerity/restraint	изображать людей, эмоции с трогательной искренностью / сдержанностью
render, interpret the personality of...	передавать характер…
reveal the person's nature	раскрыть характер
self-taught artist	художник-самоучка
specialize in portraiture, still life	специализироваться в написании портретов, натюрмортов
his painterly talents	его талант к живописи
complete command of colour	великолепное владение цветом
the brush	искусство художника
brushwork	манера художника накладывать краски кистью; манера письма
creative work	творчество
finished technique	отточенное мастерство
to group	подбирать гармонично краски, цвета
handling	умение художника владеть кистью
verve	живость и яркость (описания); сила изображения, индивидуальность художника
exquisite work	тонкое мастерство
paint shop	изостудия
studio	мастерская художника
art exhibit	художественная выставка
exhibit	экспонат; выставлять,экспонировать
art exhibition	художественная выставка
art gallery	художественная галерея
a picture gallery	картинная галерея
a picture show	выставка картин
show	выставка
one-man exhibition	персональная выставка
private exhibition	частная выставка
at the exhibition	на выставке
exhibition halls (rooms)	выставочные залы
loan exhibition	выставка картин, временно предоставленных владельцами для экспозиции (музеем или отделтным лицом)
display	выставка; выставлять, показывать
varnishing-day	день накануне выставки (когда художники могут подправить свои картины, покрыть их лаком); вернисаж
opening day	вернисаж
pictures hung on the line	картины, выставленные так, что центр картины находится на уровне глаз зрителя;
brush	кисть
canvas	холст
chalk	мел
charcoal	угольный карандаш
colour box / palette	палитра
crayon	цветной карандаш, мелок
drapery	драпировка
easel	мольберт
enamel	эмаль, финифть
encaustic	энкаустика
frame	рама
fresco	фреска, фресковая живопись
gouache	гуашь
ink	чернила
India ink	тушь
Indian ink	тушь
lacquer	лак, глазурь
liquid	1) жидкость 2) жидкий
oil paint	масляная краска
paintbox	коробка с красками
panel	тонкая доска для живописи, панно
pigment	пигмент
tempera	темпера
to charcoal	рисовать углем
vehicle	растворитель
watercolour	акварель
sketch-book	альбом, тетрадь для рисования
drawing-block	тетрадь для рисования
easel	мольберт; The easel is a frame which supports the painting during its progress. - Мольберт - это подставка, на которой устанавливается картина во время работы над ней
to adjust (set) an easel	поставить, укрепить мольберт
easel-picture	картина на мольберте (во время рисования)
He continued working on his easel-pieces.	Он продолжал работу над картиной, стоявшей на мольберте
Canvas	холст, картина, полотно (о произведении искусства: фильме, картине и т.д.)
to stretch canvas	натягивать холст
frame	рама; вставлять в раму
stretcher	подрамник, на который натягивают холст
paint brush	кисть (для рисования)
paint oil	олифа
paint-box	коробка красок
a box of paints	набор красок
colour-box	ящик с красками
a set of (oil) paints	набор (масляных) красок
palette knife	мастихин
colour pan	палитра (доска для смешивания красок)
lacquer	лак
solvent	растворитель;
Paint 1.	1) а) рисование б) рисунок; 2) а) краска; окраска
to dilute paint	разводить краску
to mix paints	смешивать краски
to scrape paint	соскабливать краску
to spread paint evenly	ровно распределять краску
to spray paint	распылять краску
paint chips	краска облетает
paint peels	краска сходит, слезает
Paint	б) (pl.) краски
a box of paints	ящик с красками
Paint 2.	а) писать красками
to paint a portrait in oil(s)	написать портрет масляными красками
paint from nature	рисовать/писать с натуры; Syn: depict, portray, delineate
Paint	б) заниматься живописью
Paint	в) расписывать красками (дом, стену, окно и т.д.)
to paint a wall	расписать стену
paint in	вписывать красками; The trees in the background were painted in later by a different artist. Деревья на заднем плане были дорисованы другим художником
Paint	Syn: colour
Sketch 1.	эскиз, набросок
to draw, make a sketch	сделать набросок
a composite sketch	сложный эскиз
a rough sketch	предварительный набросок; Syn: drawing, draft, outline
Sketch 2.	1) рисовать эскиз, делать набросок; I always sketch with pen and paper.Я всегда делаю свои наброски на бумаге ручкой
Sketch	2) описывать в общих чертах
preliminary sketch	предварительный набросок
outline/study	набросок; эскиз / этюд
to draw up an outline, to make an outline	сделать эскиз, набросок
bare, broad, general, rough outline	приблизительный набросок; Syn: sketch, draft
Painting	1) живопись
Painting	а) вид изобразительного искусства
finger painting	рисование пальцами (о маленьких детях, рисующих масляными красками)
Flemish painting	фламандская живопись
hard-edge painting	амер. "живопись четких контуров"
wall painting	амер. настенная живопись (традиционный элемент пейзажа больших городов)
water-color painting	акварельная живопись
oil painting	1) живопись масляными красками; 2) картина, написанная масляными красками
Painting	б) (произведение) роспись; изображение, картина
to authenticate a painting	устанавливать подлинность картины
to do a painting	рисовать картину
to restore a painting	реставрировать картину
a painting depicts, portrays, shows	картина изображает, представляет
Painting	в) занятие живописью; рисование
to be taught painting	обучаться живописи; Two hobbies she really enjoyed, painting and gardening. У нее было два занятия, которые ей по-настоящему нравились: рисование и садоводство. Syn: coloring
Painting	2) окраска, малярное дело
painting and decorating	малярные работы
mural painting	стенная живопись
dip painting	окрашивание окунанием
Battle painting	батальная живопись
Genre painting	жанровая живопись
Anecdotal painting	разновидность жанровой живописи
Historical painting	историческая живопись
Landscape painting	пейзажная живопись
Monumental painting	монументальная живопись
Mural painting	фресковая живопись
“plain-air” painting	пленэристическая живопись
plain-air technique	пленэрная живопись
in the open air	на открытом воздухе (на пленэре)
“plain air” (фр. plein air)	пленэр (живопись на открытом воздухе вне мастерской)
portraiture	портретная живопись; собир. портреты
