Русское название
English name
Транскрипция
аист	stork	[ stɔːk ]
альбатрос	albatross	[ ˈælbətrɒs ]
баклан	cormorant	[ ˈkɔːmərənt ]
бекас	snipe	[ snaɪp ]
беркут	golden eagle	[ ˈɡəʊldən ˈiːɡl̩ ]
вальдшнеп	woodcock	[ ˈwʊdkɒk ]
воробей	sparrow	[ ˈspærəʊ ]
ворон	raven	[ ˈreɪvn̩ ]
ворона	crow	[ krəʊ ]
выпь	bittern	[ ˈbɪtən ]
гагара	loon, diver	[ luːn ] [ ˈdaɪvə ]
галка	jackdaw, daw	[ ˈdʒækdɔː ] [ dɔː ]
глухарь	cock of the wood; wood grouse	[ ˈkɒk əv ðə wʊd ] [ wʊd ɡraʊs ]
гоголь	goldeneye	[ ˈɡoldəˌnaɪ ]
голубь	pigeon; dove	[ ˈpɪdʒən ] [ dʌv ]
горлица	turtle-dove	[ ˈtɜːtldʌv ]
грач	rook	[ rʊk ]
гусь	goose	[ ɡuːs ]
дрозд	thrush	[ θrʌʃ ]
дятел	woodpecker	[ ˈwʊdpekə ]
жаворонок	lark	[ lɑːk ]
журавль	crane	[ kreɪn ]
зимородок	halcyon, kingfisher	[ ˈhælsɪən ] ˈkɪŋfɪʃə ]
зяблик	chaffinch	[ ˈtʃæfɪntʃ ]
иволга	oriole	[ ˈɔːrɪəʊl ]
индейка	turkey	[ ˈtɜːki ]
канарейка	canary	[ kəˈneəri ]
клёст	crossbill	[ ˈkrɒˌsbɪl ]
козодой	dorhawk, nightjar	[ 'dɔːhɔːk ] [ ˈnaɪtdʒɑː ]
колибри	hummingbird	[ ˈhʌmɪŋbɜːd ]
коноплянка	linnet	[ ˈlɪnɪt ]
королек	regulus	[ˈrɛgjʊləs ]
коростель	landrail, corncrake	[ ˈlændreɪl ] [ ˈkɔːnkreɪk ]
коршун	kite	[ kaɪt ]
кряква	wild duck, mallard	[ waɪld dʌk ] [ ˈmælɑːd ]
кукушка	cuckoo	[ ˈkʊkuː ]
кулик	sandpiper	[ ˈsændpaɪpə ]
курица	hen	[ hen ]
куропатка	partridge (серая); willow grouse (белая)	[ ˈpɑːtrɪdʒ ] [ ˈwɪləʊ ɡraʊs ]
ласточка	swallow	[ ˈswɒləʊ ]
лебедь	swan; cob (самец), cob-swan	[ swɒn ] [ kɒb ] [ ˈkɒbswɒn ]
малиновка	robin, redbreast	[ ˈrɒbɪn ] [ ˈredbrest ]
мухоловка	flycatcher	[ ˈflaɪkætʃə ]
неясыть	tawny owl	[ ˈtɔːni aʊl ]
нырок	pochard	[ ˈpəʊtʃəd ]
овсянка	(yellow) bunting, yellowhammer	[ ˈjeləʊ ˈbʌntɪŋ ] ['jeləuˌhæmə ]
оляпка	dipper, ouzel	[ ˈdɪpə ] [ ˈuːzl̩ ]
орел	eagle	[ ˈiːɡl̩ ]
павлин	peacock, peafowl	[ ˈpiːkɒk ] [ ˈpiːfaʊl ]
пеночка	chiffchaff	[ 'ʧɪfʧæf ]
перепел	quail	[ kweɪl ]
петух	cock; rooster	[ ˈkɒk ] [ ˈruːstə ]
пигалица = чибис	lapwing, pewit	[ ˈlæpwɪŋ ] [ ˈpiːwɪt ]
пингвин	penguin	[ ˈpeŋɡwɪn ]
поползень	nuthatch	[ ˈnʌthætʃ ]
попугай	parrot	[ ˈpærət ]
пустельга	kestrel	[ ˈkestrəl ]
рябчик	hazel-grouse, hazel-hen	[ 'heɪzəl graus ] [ ˈheɪzlhen ]
сапсан	peregrine	[ ˈperɪɡrɪn ]
свиристель	waxwing	[ 'wæksˌwɪŋ ]
синица	tomtit, blue titmouse, blue tit	[ ˈtɒmtɪt ] [bluː ˈtɪtmaʊs ] [ bluː tɪt ]
скворец	starling	[ ˈstɑːlɪŋ ]
славка	whitethroat, warbler	[ 'waɪtθrəut ] [ ˈwɔːblə ]
снегирь	bullfinch	[ ˈbʊlfɪntʃ ]
сова	owl	[ aʊl ]
сойка	jay	[ dʒeɪ ]
соловей	nightingale	[ ˈnaɪtɪŋɡeɪl ]
сорока	magpie	[ ˈmæɡpaɪ ]
страус	ostrich	[ ˈɒstrɪtʃ ]
стриж	swift	[ swɪft ]
сыч	little owl	[ ˈlɪtl̩ aʊl ]
тетерев	black grouse, blackcock	[ blæk ɡraʊs ] [ 'blækkɔk ]
трясогузка	wagtail	[ ˈwæɡteɪl ]
турухтан	ruff	[ rʌf ]
удод	hoopoe	[ ˈhuːˌpuː ]
утка	duck	[ dʌk ]
фазан	pheasant	[ ˈfeznt ]
филин	eagle-owl	[ ˈiːɡlˈaʊl ]
фламинго	flamingo	[ fləˈmɪŋɡəʊ ]
цапля	heron; egret	[ ˈherən ] [ ˈiːɡret ]
цесарка	guinea fowl	[ ˈɡɪni faʊl ]
чайка	gull; sea gull	[ ɡʌl ] [ siː ɡʌl ]
чечетка	redpoll	[ ˈredˌpol ]
чиж	siskin	[ ˈsɪˌskɪn ]
чирок	teal	[ tiːl ]
щегол	goldfinch	[ ˈɡəʊldfɪntʃ ]
юрок	bramble finch, brambling	[ ˈbræmbl̩ fɪntʃ ] [ 'bræmblɪŋ ]
ястреб	hawk	[ hɔːk ]
