Русское слово
English
авиакомпания	airlines
автобус	bus
агентство	agency
аэропорт	airport
багаж	baggage, luggage
бензин	gas, gasoline
билет	ticket
валюта	currency
велосипед	bicycle, bike
взлетать	to take off, to leave the ground
виза	visa
внутренний туризм	domestic tourism
вокзал	railway station / train station
временная миграция	temporary migration
говорить по-английски	to speak English
город	town; city
гостевой дом	guest house
гостиница	hotel
гостиничная сеть	hotel chain
граница	border, frontier
достопримечательности	attractions
европейские страны	European countries
ежегодный отпуск	annual vacation
ехать за границу	to go abroad
железная дорога	railway
за границей	abroad
загорать	to get a suntan
загорелый	tanned, bronzed
Западная Европа	Western Europe
индустрия туризма	tourist industry
иностранец	foreigner
иностранный	foreign
каникулы	vacation
карта	map
корабль	ship
курорт	resort
лечиться на водах	take the waters
лёгкий	light
маршрут (дорога)	route
машина	car, automobile
международные границы	international boundaries
международный туризм (выездной туризм)	international tourism
минеральные источники (как курорт)	spa
мероприятия	arrangements
мотоцикл	motorcycle, motorbike
направление	direction
небольшой отель (постоялый двор)	inn, hostelry
нетронутая природа	unspoiled nature
номер	(hotel) room
окружающая среда	environment
оплачиваемый отпуск	paid vacations
островное государство	island state
отдых	rest
отдыхать	to be on vacation; to rest, to be resting
открытка	postcard
отправляться	to set out, to leave, to depart
отпуск	vacation, leave
отпуск (каникулы)	vacation
палатка	tent
паломничество по святым местам	pilgrimages to sacred places
парк отдыха с аттракционами	theme park
пароход	steamship
паспорт	passport
перевозка	transportation
пляж	beach
побережье	seaside, coast
поезд	train
поездка	journey, trip, tour
поездка по путевке	package tour
понимать	to understand
популярный курорт	popular destination
порт	port; harbor
поток туристов	flow of tourists
прибывать	to arrive
приземляться	to land
провожать	to see off
путешествие	journey, voyage
путешествия для отдыха	traveling for leisure
путешествовать	to travel
развлечение	recreation
рюкзак	backpack
садиться (на что)	to get on, to board
самолёт	(air)plane
скучать (по)	to miss, to long / yearn (for)
спасательный жилет	life-jacket
Средиземноморье	Mediterranean
столица	capital
страна	country
странный	strange, odd
сувенирные магазины	souvenir shops
сходить (с)	to get off
такси	taxi
термальный источник	thermal spring
трамвай	streetcar, trolley, tram
туризм	tourism, traveling (AmE), travelling (BrE)
туристическая ассоциация	travel association
услуги для путешественников	services for travelers
чемодан	suitcase
экзотический	exotic
экотуризм	eco-tourism
юг (южные страны, регионы)	the South
