ENGLISH
ПЕРЕВОД
Acanthur	рыба-хирург
Acara	акара
Afer	афер
African Bladefish	африканская рыба-нож
African Brown Snapper	африканская черна
African Bull Shark	африканская бычья акула
African Pike	хепсетус (африканская гребнещука)
Agone	европейская алоза
Albacore	альбакор
Alligator Gar	миссисипский панцирник, панцирная щука
Almaco Jack	сернола-фортуна
Amarela Piranha	пиранья амарела
Amberjack	сернола-думерил
American Eel	американский угорь
American Plaice	американская камбала
American Shad	американский шэд
Amur Sleeper	ротан
Anabas	анабас, ползун
Angelshark	акула-ангел
Angler	лягва-рыболов
Aplocheil	панхакс (полосатая азиатская щучка)
Arapaima	арапама, арапайма
Archer Fish	арчер
Arctic Grayling	сибирский хариус
Arothron	аротрон
Aruana	аравана
Asian Boneytongue	склеропаг (азиатский дракон)
Asp	жерех
Atlantic Croaker	атлантический горбыль
Atlantic Herring	атлантическая сельдь
Atlantic Horsemackerel	атлантическая ставрида
Atlantic Salmon	семга (атлантический лосось)
Atlantic Sharpnose Shark	атлантическая длиннорылая акула
Atlantic Spade Fish	атлантическая рыба-лопата
Atlantic Sturgeon	атлантический осетр
Australian Salmon	австралийский лосось, аррипа
Baby Common Carp	молодой карп
Baby Mirror Carp	молодой зеркальный карп
Bagrid Catfish	косатка
Ballan Wrasse	губан
Baltic Vimba	балтийский рыбец
Banded Archerfish	ленточный брызгун
Banded Sunfish	ленточная солнечная рыба
Bank Seabass	прибрежный морской окунь
Barbel	усач, барбус
Barracouta	барракута
Barracuda	барракуда
Barramundi	баррамунди
Barred Hogfish	бодиан
Barred Moray	полосатая мурена
Batfish	платакс, нетопырь
Bavosa	бавоса
Beardless Barb	безбородый барбус
Bengal Sargeant	бенгальский абудефдуф, бенгальский сержант
Bicirrus	бикиррус
Big Eyed Scad	большеглазая ставрида
Bigeye Tuna	большеглазый тунец
Big-Eyed Scadfish	большеглазая ставрида
Bighead Carp	большеголовый карп, пестрый толстолоб
Bigmouth Buffalo	большеротый буффало
Bigmouth Sleeper	большеротый гобиоморус
Big-Scalled Redfin	красноперка-угай
Big-Spot Coral Trout	пятнистая коралловая кефаль
Billfish	атлантический парусник
Bitterling	горчак
Black Banded Sunfish	черная ленточная солнечная рыба
Black Carp	черный амур
Black Chessa	черная чесса
Black Cod	черная треска, угольная рыба
Black Crappie	черный краппи
Black Drum	морской барабанщик, темный горбыль
Black Marlin	черный марлин
Black Moor	черный карась
Black Piranha	черная пиранья
Black Seabream	черный морской карась
