Русское название
English name
Транскрипция
семья	family	[ ˈfæməli ]
родственник	relative, relation	[ ˈrelətɪv ] [ rɪˈleɪʃən ]
родители	parents	[ ˈpeərənts ]
мать (мама)	mother (mom, mum, mama, mamma, mummy, ma)	[ ˈmʌðə mɒm ] [ mʌm ] [ məˈmɑː ]
[ məˈmɑː ] [ ˈmʌmi ] [ mɑː ]
отец (папа)	father (dad, daddy, papa, pa)	[ ˈfɑːðə [ dæd ] [ ˈdædi ]
[ pəˈpɑː ] [ pɑː ]
жена	wife	[ waɪf ]
муж	husband	[ ˈhʌzbənd ]
супруг(а)	spouse	[ spaʊz ]
ребенок, дети	child, children	[ tʃaɪld ] [ ˈtʃɪldrən ]
дочь	daughter	[ ˈdɔːtə ]
сын	son	[ sʌn ]
сестра	sister	[ ˈsɪstə ]
брат	brother	[ ˈbrʌðə ]
единственный ребенок	only child	[ ˈəʊnli tʃaɪld ]
близнец	twin	[ twɪn ]
близнецы, двойняшки	twins	[ twɪnz ]
брат-близнец	twin brother	[ twɪn ˈbrʌðə ]
сестра-близнец	twin sister	[ twɪn ˈsɪstə ]
однояйцевые близнецы	identical twins	[ aɪˈdentɪkəl twɪnz ]
тройняшки	triplets	[ ˈtrɪpləts ]
бабушка и дедушка	grandparents	[ ˈɡrænpeərənts ]
бабушка	grandmother (grandma, granny, grandmamma)	[ ˈɡræn ˌmʌðə ˈɡrænmɑː ]
[ ˈɡræni ] [ ˈɡrænməˌmɑː ]
дедушка	grandfather (grandpa, granddad, grandpapa, gran-dad)	[ ˈɡrænfɑːðə ˈɡrænpɑː ]
[ ˈɡrændæd ] [ ˈɡrænpəˌpɑː ]
[ ˈɡrændæd ]
внуки	grandchildren	[ ˈɡræntʃɪldrən ]
внучка	granddaughter	[ ˈɡrændɔːtə ]
внук	grandson	[ ˈɡrænsʌn ]
прабабушка	great-grandmother	[ ˈɡreɪt ˈɡræn ˌmʌðə ]
прадедушка	great-grandfather	[ ˈɡreɪtˈɡrændˌfɑːðə ]
прабабушка и прадедушка	great-grandparents	[ ˈɡreɪt ˈɡrænpeərənts ]
правнуки	great-grandchildren	[ ˈɡreɪt ˈɡræntʃɪldrən ]
тётя	aunt	[ ɑːnt ]
дядя	uncle	[ ˈʌŋkəl ]
крестный (отец)	godfather	[ ˈɡɒdfɑːðə ]
крестная (мать)	godmother	[ ˈɡɒdmʌðə ]
отчим, приемный отец	stepfather	[ ˈstepfɑːðə ]
мачеха, приемная мать	stepmother	[ ˈstepmʌðə ]
сводный брат	stepbrother	[ ˈstep ˌbrʌðə ]
сводная сестра	stepsister	[ ˈstepsɪstə ]
брат по одному из родителей	half-brother	[ ˈhɑːf ˌbrʌðə ]
сестра по одному из родителей	half-sister	[ ˈhɑːf sɪstə ]
приемный, усыновленный сын	adopted son	[ əˈdɒptɪd sʌn ]
приемная, удочеренная дочь	adopted daughter	[ əˈdɒptɪd ˈdɔːtə ]
приемный ребенок	adopted child	[ əˈdɒptɪd tʃaɪld ]
патронатная семья, приемная семья	foster family	[ ˈfɒstə ˈfæməli ]
приемный отец	foster father	[ ˈfɒstə ˈfɑːðə ]
приемная мать	foster mother	[ ˈfɒstə ˈmʌðə ]
приемные родители	foster parents	[ ˈfɒstə ˈpeərənts ]
приемный сын	foster son	[ ˈfɒstə sʌn ]
приемная дочь	foster daughter	[ ˈfɒstə ˈdɔːtə ]
приемный ребенок	foster child	[ ˈfɒstə tʃaɪld ]
неполная семья (с одним родителем)	single-parent family	[ ˈsɪŋɡəl ˈpeərənt ˈfæməli ]
родня	the kin, the folks	[ ðə kɪn ] [ ðə fəʊks ]
племянница	niece	[ niːs ]
племянник	nephew	[ ˈnevjuː ]
двоюродный брат	cousin (male)	[ ˈkʌzən meɪl ]
двоюродная сестра	cousin (female)	[ ˈkʌzən ˈfiːmeɪl ]
двоюродный брат (сестра), кузен (кузина)	first cousin	[ ˈfɜːst ˈkʌzən ]
троюродный брат (сестра)	second cousin	[ ˈsekənd ˈkʌzən ]
