Русское слово
English word
Транскрипция
активный	active	[ ˈæktɪv ]
амбициозный, целеустремленный	ambitious, high-flying	[ æmˈbɪʃəs ] [ haɪˈflaɪɪŋ ]
безумный	reckless	[ ˈrekləs ]
беспечный	light-hearted, easygoing	[ laɪt ˈhɑːtɪd ] [ ˌiːzɪˈɡəʊɪŋ ]
бешеный	furious	[ ˈfjʊərɪəs ]
волевой	strong-willed	[ ˈstrɒŋˈwɪld ]
ворчливый	grumbling	[ ˈɡrʌmbəlɪŋ ]
гордый	proud	[ praʊd ]
гуманный	humane	[ hjuːˈmeɪn ]
добрый	kind	[ kaɪnd ]
жадный	greedy	[ ˈɡriːdi ]
желчный	acrimonious	[ ˌækrɪˈməʊniəs ]
жестокий	cruel	[ krʊəl ]
завистливый	envious	[ ˈenvɪəs ]
замкнутый	unsociable	[ ʌnˈsəʊʃəbəl ]
заносчивый, высокомерный	arrogant	[ ˈærəɡənt ]
злой	angry	[ ˈæŋɡri ]
идеальный	ideal, perfect	[ aɪˈdɪəl ] [ ˈpɜːfɪkt ]
капризный	capricious, fretful	[ kəˈprɪʃəs ] [ ˈfretfəl ]
коварный, хитрый	sly	[ slaɪ ]
ленивый	lazy	[ ˈleɪzi ]
лживый	lying, mendacious	[ ˈlaɪɪŋ ] [ menˈdeɪʃəs ]
личность	personality	[ ˌpɜːsəˈnælɪti ]
любопытный	curious	[ ˈkjʊərɪəs ]
мерзкий	disgusting	[ dɪsˈɡʌstɪŋ ]
наглый	impertinent	[ ɪmˈpɜːtɪnənt ]
надежный, верный	reliable	[ rɪˈlaɪəbəl ]
назойливый	importunate	[ ɪmˈpɔːtʃʊnət ]
наивный	naive	[ naɪˈiːv ]
непослушный, капризный (о ребенке)	naughty	[ ˈnɔːti ]
обидчивый	touchy	[ ˈtʌtʃi ]
озорной	mischievous, naughty	[ ˈmɪstʃɪvəs ] [ ˈnɔːti ]
он человек с характером	he is a man of (strong) character	[ hi z ə mæn əv strɒŋ ˈkærəktə ]
оптимист	optimist	[ ˈɒptɪmɪst ]
остроумный	witty	[ ˈwɪti ]
отважный	courageous	[ kəˈreɪdʒəs ]
ответственный	responsible	[ rɪˈspɒnsəbəl ]
отзывчивый	responsive	[ rɪˈspɒnsɪv ]
пассивный	passive	[ ˈpæsɪv ]
пессимист	pessimist	[ ˈpesɪmɪst ]
позитивный	positive	[ ˈpɒzətɪv ]
покладистый	complaisant	[ kəmˈpleɪzənt ]
равнодушный	indifferent	[ ɪnˈdɪfrənt ]
разумный, сообразительный	smart	[ smɑːt ]
раскованный	uninhibited	[ ˌʌnɪnˈhɪbɪtɪd ]
рассудительный	sober-minded, reasonable	[ ˈsəʊbəˈmaɪndɪd ] [ ˈriːznəbəl ]
реалист	realist	[ ˈrɪəlɪst ]
резкий	harsh	[ hɑːʃ ]
самокритичный	self-critical	[ self ˈkrɪtɪkəl ]
самолюбивый	selfish	[ ˈselfɪʃ ]
серьезный	serious	[ ˈsɪərɪəs ]
склад ума	attitude of mind, mentality	[ ˈætɪtjuːd əv maɪnd ]
[ menˈtælɪti ]
скромный	modest	[ ˈmɒdɪst ]
смелый	brave	[ breɪv ]
справедливый	fair, impartial	[ feə ] [ ɪmˈpɑːʃəl ]
талантливый	talented	[ ˈtæləntɪd ]
темперамент	temperament	[ ˈtemprəmənt ]
терпеливый	patient	[ ˈpeɪʃnt ]
тихий	calm, quiet	[ kɑːm ] [ ˈkwaɪət ]
толерантный	tolerant	[ ˈtɒlərənt ]
тупой	stupid, dull	[ ˈstjuːpɪd ] [ dʌl ]
умный	clever	[ ˈklevə ]
умный, разумный	intelligent	[ ɪnˈtelɪdʒənt ]
упрямый	stubborn	[ ˈstʌbən ]
циничный	cynical	[ ˈsɪnɪkəl ]
черта характера	character trait	[ ˈkærəktə treɪt ]
чувствительный	sensitive	[ ˈsensətɪv ]
щедрый	generous	[ ˈdʒenərəs ]
