художественные промыслы
arts and crafts
береста	birchbark
богато украшенный	ornate
вельвет	cord, corduroy, velvet
возрождение традиции	rebirth of the tradition
вышивка	embroidery
головной убор	headwear
долговечность	durability
замша	suede
изделия из серебра	silver work
изделия из стекла	glassware
изделия из хрусталя	crystalware
икона	icon
кап	burl, wart
керамика	ceramics
киоск на борту	on-board shop
козий пух	goat down
кружево	lacework
куклы	dolls
лак	varnish
лаковая миниатюра	lacquer miniature
лаковая шкатулка	lacquer miniature
липа	linden
лоза	osier
масляные краски	oil paints
мастерская	workshop
матрешка	nesting doll, matryoshka
медь	copper
металлический поднос	metal tray
мутон	mouton
национальный костюм	traditional dress
пасхальное яйцо	easter egg
перламутр	mother-of-pearl
подделка	fake
подлинный	authentic
праздничные события	festive events
прикладное искусство	applied arts
резьба по камню	stone carving
резьба по кости	bone carving
ремесленник	craftsman
ремесло	handicraft
самовар	samovar
сделанный вручную	handmade
сертификат качества	quality certificate
смола	resin
соломка	straw
сплав (металлов)	alloy
стразы	rhinestones
сувенир	souvenir
сусальное золото	gold leaf
талисман	talisman
темперные краски	tempera paints
товарный знак	trademark
товары для активного отдыха	goods for outdoor activity
традиционная игрушка	traditional toy
трудоемкий	labour-intensive
фарфор	porcelain
фарфоровая кукла	porcelain doll
фаянс	faience
финифть	miniature on enamel
художественная обработка дерева	woodpaintimg
художественная обработка металла	metal craft
шедевр	masterpiece
шелковая нить	silk fringe
экологически чистый	ecologically friendly
эмаль	enamel
ювелир	jeweller
янтарь	amber
ярмарка	fair
