English
Транскрипция
Русское название
amber	[ ˈæmbə ]	янтарный
anise	[ ˈænɪs ]	анисовый
apricot	[ ˈeɪprɪkɒt ]	абрикосовый
aqua	[ ˈækwə ]	цвет морской волны
aquamarine	[ ˌækwəməˈriːn ]	аквамарин
ash	[ æʃ ]	пепельно-серый
azure	[ ˈæʒə ]	лазурный
beige	[ beɪʒ ]	бежевый
berry	[ ˈberi ]	ягодный
black	[ blæk ]	черный
blue	[ bluː ]	синий
blue violet	[ bluː ˈvaɪələt ]	фиолетово-синий
bottle green	[ ˈbɒtəl ɡriːn ]	бутылочный зеленый
bronze	[ brɒnz ]	бронзовый
brown	[ braʊn ]	коричневый
buff	[ bʌf ]	светло-коричневый
burgundy	[ ˈbɜːɡəndi ]	бордовый
burly wood	[ ˈbɜːli wʊd ]	желтоватый
burnt	[ bɜːnt ]	жженый
buttercup yellow	[ ˈbʌtəkʌp ˈjeləʊ ]	светло-желтый
cadet blue	[ kəˈdet bluː ]	серо-синий
cambridge blue	[ ˈkeɪmbrɪdʒ bluː ]	светло-голубой
camel	[ ˈkæməl ]	верблюжий
cerise	[ səˈriːz ]	светло-вишневый
charcoal	[ ˈtʃɑːkəʊl ]	древесный уголь
chartreuse	[ ʃɑːˈtrɜːz ]	бледно-зелёный, зеленовато-желтый
chlorine	[ ˈklɔːriːn ]	светло-зеленый
chocolate	[ ˈtʃɒklət ]	шоколадный
claret	[ ˈklærət ]	бордовый, багряный, пурпурно-красный
clay	[ kleɪ ]	глиняный
clay-coloured	[ kleɪ ˈkʌləd ]	светло-бурый
cocoa	[ ˈkəʊkəʊ ]	цвет какао
copper	[ ˈkɒpə ]	медный
coral	[ ˈkɒrəl ]	коралловый
cornflower	[ ˈkɔːnflaʊə ]	васильковый
cornsilk	[ ˈkɔːnsɪlk ]	шелковый оттенок
cream	[ kriːm ]	кремовый
cream	[ kriːm ]	сливочный
cyan	[ ˈsaɪən ]	зеленовато-голубой
dark blue	[ dɑːk bluː ]	темно-синий
dark cyan	[ dɑːk ˈsaɪən ]	темный циан
dark gray	[ dɑːk ɡreɪ ]	темно-серый
dark green	[ dɑːk ɡriːn ]	темно-зеленый
dark magenta	[ dɑːk məˈdʒentə ]	фуксин темный
dark red	[ dɑːk red ]	темно-красный
dark yellow	[ dɑːk ˈjeləʊ ]	темно-желтый
deep blue	[ diːp bluː ]	глубокий синий
